" ","Mean/Count (SD/%)"
"","n = 696"
"rus_infrastructure$CITY"," "
"   Adams","1 (0.1%)"
"   Aneta","1 (0.1%)"
"   Animas","1 (0.1%)"
"   Arthur","1 (0.1%)"
"   AZVG","32 (4.6%)"
"   Baldwin-Woodville serving area","1 (0.1%)"
"   BANDON","1 (0.1%)"
"   Bay Springs","1 (0.1%)"
"   BIG SANDY","1 (0.1%)"
"   BIG TIMBER","1 (0.1%)"
"   Binford","1 (0.1%)"
"   BLAINE","1 (0.1%)"
"   Bonita","2 (0.3%)"
"   BORDEN","2 (0.3%)"
"   Bowie","1 (0.1%)"
"   BOXELDER","1 (0.1%)"
"   BROADVIEW","1 (0.1%)"
"   Brocket","1 (0.1%)"
"   BUCKEYE","1 (0.1%)"
"   BURLINGTON JUNCTION","1 (0.1%)"
"   CARLTON","1 (0.1%)"
"   Cavalier","1 (0.1%)"
"   CAVG","8 (1.1%)"
"   CHAPMAN","1 (0.1%)"
"   CHESTER","1 (0.1%)"
"   CHINOOK","1 (0.1%)"
"   Clair City","1 (0.1%)"
"   Claire City","1 (0.1%)"
"   CLEARMONT","1 (0.1%)"
"   Collinston","2 (0.3%)"
"   Columbus","1 (0.1%)"
"   Cooperstown","1 (0.1%)"
"   CPLK","1 (0.1%)"
"   Crystal","1 (0.1%)"
"   Dahlen","1 (0.1%)"
"   DELAVAN","1 (0.1%)"
"   DENTON","1 (0.1%)"
"   DODSON","1 (0.1%)"
"   Drayton","1 (0.1%)"
"   DUNLAP","1 (0.1%)"
"   DWIGHT","1 (0.1%)"
"   East Drayton","1 (0.1%)"
"   Edinburg","1 (0.1%)"
"   Edmore","1 (0.1%)"
"   ELMO","1 (0.1%)"
"   Enderlin","1 (0.1%)"
"   Fairdale","1 (0.1%)"
"   FALLSBURG","1 (0.1%)"
"   Finley","1 (0.1%)"
"   FLAT GAP","1 (0.1%)"
"   Fordville","1 (0.1%)"
"   FORT BENTON","1 (0.1%)"
"   Galesburg","1 (0.1%)"
"   GERALDINE","1 (0.1%)"
"   Gilby","1 (0.1%)"
"   GILDFORD","1 (0.1%)"
"   Goose Lake","1 (0.1%)"
"   HAMMOND Serving Area","1 (0.1%)"
"   HARLEM","1 (0.1%)"
"   HARLOWTON","1 (0.1%)"
"   HAYS","1 (0.1%)"
"   HIGH HILL","2 (0.3%)"
"   HINGHAM","1 (0.1%)"
"   HOBSON","1 (0.1%)"
"   HOLLAND","1 (0.1%)"
"   Hoople","1 (0.1%)"
"   HOPE","1 (0.1%)"
"   HOPP-ILLIAD","1 (0.1%)"
"   HOSTYN","1 (0.1%)"
"   HSLK","1 (0.1%)"
"   Hunter","1 (0.1%)"
"   Inkster","1 (0.1%)"
"   JOPLIN","1 (0.1%)"
"   JUDITH GAP","1 (0.1%)"
"   JXPL","2 (0.3%)"
"   Knapp","1 (0.1%)"
"   KREMLIN","1 (0.1%)"
"   Lakota","1 (0.1%)"
"   LAMAR","1 (0.1%)"
"   Lankin","1 (0.1%)"
"   LINCOLNVILLE","1 (0.1%)"
"   LOMA","1 (0.1%)"
"   LOST SPRINGS","1 (0.1%)"
"   Lovington","1 (0.1%)"
"   MALTA","1 (0.1%)"
"   MARTINSDALE","1 (0.1%)"
"   McHenry","1 (0.1%)"
"   MELVILLE","1 (0.1%)"
"   MESQ","18 (2.6%)"
"   Michigan","1 (0.1%)"
"   MOLT","1 (0.1%)"
"   MOORE","1 (0.1%)"
"   MORAVIA","1 (0.1%)"
"   MRGE","2 (0.3%)"
"   Napoleon","1 (0.1%)"
"   NAVARRE","1 (0.1%)"
"   Neche","1 (0.1%)"
"   Nekoma","1 (0.1%)"
"   New Effington","1 (0.1%)"
"   Niagara","1 (0.1%)"
"   NORTH HAVRE","1 (0.1%)"
"   OUTER BOUNDARY","2 (0.3%)"
"   Park River","1 (0.1%)"
"   Pearce","1 (0.1%)"
"   Peever","1 (0.1%)"
"   Pembina","1 (0.1%)"
"   Petersburg","1 (0.1%)"
"   Playas","1 (0.1%)"
"   PLUM","1 (0.1%)"
"   Portal","1 (0.1%)"
"   Preston","1 (0.1%)"
"   RAMONA","1 (0.1%)"
"   RAPELJE","1 (0.1%)"
"   REEDPOINT","1 (0.1%)"
"   ROBERTS Serving Area","1 (0.1%)"
"   Roslyn","2 (0.3%)"
"   Royalton","1 (0.1%)"
"   RUDYARD","1 (0.1%)"
"   SALYERSVILLE","1 (0.1%)"
"   San Simon","1 (0.1%)"
"   SANTA CLAUS","1 (0.1%)"
"   Sheldon","1 (0.1%)"
"   SIMPSON","1 (0.1%)"
"   Siren","1 (0.1%)"
"   SOUTH CHESTER","1 (0.1%)"
"   SOUTH HAVRE","1 (0.1%)"
"   SOUTH MALTA","1 (0.1%)"
"   SPRMT","1 (0.1%)"
"   SPRNT","1 (0.1%)"
"   ST MARKS","1 (0.1%)"
"   St. Leon","1 (0.1%)"
"   ST. MEINRAD","1 (0.1%)"
"   St. Thomas","1 (0.1%)"
"   STAFFORDSVILLE","1 (0.1%)"
"   STANFORD","1 (0.1%)"
"   StVincent","1 (0.1%)"
"   Summit","1 (0.1%)"
"   Sunizona","1 (0.1%)"
"   Sunman","1 (0.1%)"
"   Town of Hudson Service Area","1 (0.1%)"
"   Town of Troy Boundry","1 (0.1%)"
"   TURNER","1 (0.1%)"
"   Veblen","1 (0.1%)"
"   W.S.S.","1 (0.1%)"
"   WARRENTON","1 (0.1%)"
"   WESTBORO","1 (0.1%)"
"   WHITE CITY","1 (0.1%)"
"   WHITEWATER","1 (0.1%)"
"   Wilmot","1 (0.1%)"
"   WILSEY","1 (0.1%)"
"   WINIFRED","1 (0.1%)"
"   WOODBINE","1 (0.1%)"
"   NA","481 (69.1%)"
"rus_infrastructure$NTCA"," "
"   Yes","249 (35.8%)"
"   NA","447 (64.2%)"
"rus_infrastructure$STATE"," "
"   AZ","56 (8%)"
"   CA","8 (1.1%)"
"   IA","7 (1%)"
"   ID","3 (0.4%)"
"   IL","1 (0.1%)"
"   IN","8 (1.1%)"
"   Indiana","3 (0.4%)"
"   KS","13 (1.9%)"
"   KY","7 (1%)"
"   LA","9 (1.3%)"
"   MN","2 (0.3%)"
"   MO","4 (0.6%)"
"   MS","1 (0.1%)"
"   MT","39 (5.6%)"
"   ND","33 (4.7%)"
"   NM","3 (0.4%)"
"   NV","2 (0.3%)"
"   Pending","56 (8%)"
"   SC","1 (0.1%)"
"   TX","8 (1.1%)"
"   VA","1 (0.1%)"
"   WI","7 (1%)"
"   NA","424 (60.9%)"
"rus_infrastructure$BORROWER"," "
"   'FTC Communications, LLC","1 (0.1%)"
