source,hs_or_less_2015,poverty_2015,age_65_older_2015,hispanic_2015,black_2015,foreign_2015,unemployment_2015,family_2015,median_income_2015,median_value_2015
National,0.404,0.148,0.149,0.176,0.127,0.134,0.0678,0.816,62700,248000
BIP Regions,0.501,0.153,0.177,0.0713,0.0595,0.0369,0.0666,0.832,52000,150000
BIP Within 5MI,0.472,0.153,0.169,0.075,0.0793,0.0432,0.0659,0.837,52500,150000
BIP Within 10MI,0.452,0.156,0.163,0.085,0.0909,0.0518,0.0662,0.829,53200,154000
BIP Within 25MI,0.421,0.154,0.159,0.0969,0.111,0.0665,0.0673,0.817,55400,169000
BIP Within 50MI,0.412,0.152,0.154,0.114,0.129,0.0824,0.0675,0.814,57600,180000
Rural (RUCC 7-9),0.513,0.177,0.193,0.0691,0.0739,0.0321,0.0671,0.828,45300,132000
Rural (RUCA 7-10),0.514,0.17,0.192,0.0793,0.0725,0.0372,0.068,0.83,46700,142000
Urban (RUCC 1-6),0.399,0.147,0.147,0.181,0.129,0.138,0.0678,0.816,63700,254000
Urban (RUCA 1-6),0.396,0.146,0.145,0.183,0.131,0.142,0.0678,0.815,64300,258000
