city,coverage,providernum,state,speed12,speed11,speed10,speed9,speed8,speed7,speed6,speed5,speed4,speed3,speed2,speed1
abbeville,63.6,11,alabama,21.93,4.58,102.3,35.87,58.88,9.2,12.18,16.89,21.71,14.39,16.77,17.65
adamsville,97.5,9,alabama,9.47,38.78,61.13,84.25,66.1,51.37,212.88,164.8,160.35,74.63,117.65,72.36
alabaster,99.9,13,alabama,60.34,80.64,84.16,61,82.3,90.07,82.6,85.14,103.89,114.45,114.17,117.95
albertville,98.3,12,alabama,57.51,58.87,60.52,63.03,108.32,108.56,108.76,108.6,124.08,148.37,114.69,112.3
alexander-city,96.5,9,alabama,44.29,54.58,58.67,55.44,60.3,59.2,59.8,52.19,50.49,62.77,56.43,59.21
aliceville,29.8,7,alabama,5.65,17.56,11.31,0,10.39,11.27,22.38,11.07,17.37,10.81,21.17,10.89
altoona,45,10,alabama,17.04,22.4,23.42,25.05,12.56,48.34,50.23,33.04,24.37,30.22,34.85,49.98
andalusia,78.5,10,alabama,39.89,44.7,50.73,65.2,72.52,54.51,57.79,58.71,59.65,66.87,74.6,51.19
anniston,99.7,11,alabama,78.74,101.46,106.29,108.1,108.8,107.71,73.79,74.04,102.06,78.47,75.18,101.11
arab,80.4,8,alabama,42.89,57.46,68.1,60.73,60.46,64.84,61.89,59.13,59.45,60.78,73.05,79.71
ardmore,96.6,12,alabama,14.55,28.76,25.09,18.48,38.12,24.03,45.82,93.69,92.83,82.85,83.07,36.35
ashford,83.8,9,alabama,50.73,41.08,50.38,54.13,38.54,32.85,51.97,51.39,51.32,53.83,52.3,50.49
ashland,42.3,8,alabama,36.57,29.01,35.92,45.5,44.13,34.73,44.98,31.06,47.45,34.31,65.93,22.97
ashville,90.9,11,alabama,32.36,22.28,23.85,62.81,36.17,31.68,74.38,60.73,31.85,62.17,101.5,97.88
athens,96.5,13,alabama,56.2,59.19,60.54,63.25,58.92,136.92,65.4,49.53,83.22,100.89,99.35,84.92
atmore,72.4,10,alabama,71.12,22.56,35.94,59.29,43.01,108.12,72.42,37.19,29.67,34.07,52.16,49.77
attalla,86.7,10,alabama,79.13,52.63,81.49,127.24,79.66,40.96,39.71,14.11,100.17,102.37,15.35,38.85
auburn,95.3,14,alabama,58.16,62.15,83.54,93.11,80.03,64.62,92.93,115.57,140.56,103,102.2,98.93
bay-minette,92.5,11,alabama,13.43,16.91,17.74,20.9,27.96,31.33,32.61,65.32,78.52,69.84,66.7,75.94
bessemer,98.5,14,alabama,65.89,63.76,86,72.63,119.85,119.18,90.47,93.29,90.44,79.38,89.36,84.74
birmingham,99.8,22,alabama,69.13,67.96,78,85.97,103.8,106.19,101.78,102.87,102.57,94.91,94.08,107.3
blountsville,36.3,7,alabama,38.09,13.04,8.92,12.09,10.02,10.73,11.12,6.52,9.97,10.25,6.87,9.7
boaz,94.9,10,alabama,58.18,57.89,58.53,58.04,58.97,61.22,82.25,58.33,67.94,82.37,74.4,74.18
brent,0,9,alabama,0,35.68,34.75,35.32,2.96,0,29.56,0,0,34.57,17.03,0
brewton,82.9,11,alabama,70.11,70.96,121.41,98.58,125.4,149.78,99.05,112.23,118.88,140.69,91.57,113.59
calera,92.8,10,alabama,69.41,100.57,118.37,161.31,88.59,63.38,85.52,66.68,85.88,91.36,108,108.31
camden,74.3,7,alabama,25.5,119.21,80.93,76.87,31.86,69.36,68.24,99.4,87.51,36.49,57.8,43.02
cedar-bluff,43.8,9,alabama,31.7,10.11,15.13,19.31,4.99,2.66,15.5,5.01,10.5,18.63,7.67,11.25
centre,59.1,9,alabama,14.22,11.7,9.42,10.48,11.63,15.61,13.3,22.44,13.72,12.78,19.68,49.49
centreville,0,9,alabama,47.96,37.28,55.04,19.1,71.76,17.3,64.02,26.41,22.02,196.57,228.6,141.65
chelsea,97.6,8,alabama,53.86,49.42,59.27,63.73,79.29,56.32,60.93,66.44,82.22,96.16,88.41,94.36
childersburg,69.1,10,alabama,57.01,96.17,61.55,59.31,74.89,77.24,57.52,49.85,119.14,160.56,186.86,119.39
chunchula,37.4,11,alabama,0,0,0,19.53,8.13,0,11.17,0,0,0,0,13.65
citronelle,75,12,alabama,15.2,78.03,5.59,5.48,1.89,0.65,4.04,32.91,22.62,19.71,15.99,15.85
clanton,64.7,13,alabama,15.02,14.23,17.58,22.33,77.78,60.45,16.27,39.77,39.49,38.2,58.43,47.03
clayton,10,10,alabama,0,0,0,0,0,1.2,1.67,0,1.85,0,0,0.68
collinsville,46.5,12,alabama,9.12,8.31,2.86,11.56,23.12,23.34,14.98,17.52,22.94,9.91,13.34,9.13
columbiana,68.8,8,alabama,20.35,19.97,21.93,40.28,27.47,36.44,40.62,29.37,40.62,35.47,54.95,32.71
cordova,77,8,alabama,93.23,76.97,31.18,52.21,171.82,33.27,75.72,44.21,63.77,20.47,35.15,30.04
cottondale,92.8,9,alabama,78.27,49.55,25.07,43.58,50.35,42.36,91.08,37.67,72.27,126.98,66.86,125.47
crossville,82,11,alabama,43.36,31.1,46.98,104.64,103.26,29.28,59.62,16.84,35.99,19.12,48.82,95.28
cullman,86.9,8,alabama,57.14,53.72,54.17,59.03,61.03,59.84,58.47,58.81,56.92,81.41,88.7,102.85
dadeville,85.5,9,alabama,46.98,58.56,66.04,60.83,83.43,72.18,61.54,87.53,64.64,88.42,104.83,156.54
daleville,98.3,10,alabama,60.15,100.88,65.26,41.98,99.43,157.74,98.06,105.53,79.25,106.76,92.32,89.77
danville,67.8,9,alabama,48.43,56.09,62.14,78.59,67.29,83.02,57.46,94.04,42.17,100.21,45.07,18.29
daphne,98.8,13,alabama,116.34,89.84,82.1,70.09,110.23,110.26,124.36,88.3,75.63,92.17,92.59,83.03
deatsville,85.7,9,alabama,192.75,53.19,40.62,40.82,40.76,58.99,48.33,42.94,145.49,256.91,258.7,259.48
decatur,99.3,12,alabama,54.67,58.37,59.77,60.72,105.16,104.82,98.79,78.34,95.83,98.64,94.56,95.28
demopolis,1.7,14,alabama,16.78,14.61,18.55,18.25,12.23,24.49,15.56,14.27,13.55,18.43,38,43.32
dora,98.1,9,alabama,58.87,47.01,55.9,43.95,58.06,84.11,58.08,56.16,68.92,86.9,70.94,103.46
dothan,96.7,17,alabama,57.12,42.69,64.86,52.84,63.84,53.82,63.66,63.61,71.62,83.99,73.46,76.19
eclectic,92.3,8,alabama,25.91,45.17,33.86,35.13,31.47,40.82,36.3,34.36,30.15,38.44,47.59,34.33
eight-mile,96.8,14,alabama,9.5,31.14,39.45,9.48,74.22,21.32,84.23,9.42,13.08,85.8,12.08,9.68
elba,78.5,9,alabama,12.4,14.67,44.91,27.39,37.92,45.55,53.94,25.14,22.36,43.52,35.4,40.96
elberta,64.1,11,alabama,57.45,6.65,9.29,9.95,6.22,8.41,16.48,21.85,40.89,44.14,17.29,71.36
elkmont,81.9,12,alabama,6.18,99.83,13.69,22.04,24.67,8.03,7.58,11.19,13.66,11.06,6.64,12.54
elmore,100,8,alabama,95.53,110.05,57.27,64.35,104.87,68.1,65.9,64.95,94.54,82.61,78.55,44.93
enterprise,99.9,12,alabama,56.11,43.28,39.95,48.71,66.7,47.71,47.93,43.26,45.62,57.67,62.48,45.43
eufaula,86.8,8,alabama,74.93,77.24,87.48,48.66,56.28,51.1,57.55,105.39,105.63,95.48,87.69,50.55
eutaw,0,7,alabama,53.73,29.49,0,8.93,81.14,87.82,22.43,12.57,5.4,39.69,0,23.61
evergreen,59.1,10,alabama,13.66,0,11.61,12.52,98.47,12.66,0,17.15,0,7.47,11.64,2.33
fairfield,99.9,11,alabama,93.63,59.84,21.33,64.13,62.22,61.33,61.18,56.4,65.07,97.39,74.42,116.54
fairhope,99.2,13,alabama,66.87,78.1,83.05,96.66,72.12,71.98,78.65,64.18,112.9,76.91,87.48,71.59
falkville,54.1,8,alabama,5.69,7.35,19.1,34.4,4.94,57.36,57,105.73,21.75,68.04,65.84,95.98
fayette,21.9,8,alabama,17.85,21.08,18.32,9.4,25.07,36.91,44.45,30.13,51.39,28.3,25.89,32.26
florence,94.3,14,alabama,56.17,58.24,62.05,64.95,73.39,85.41,65.34,68.55,85.02,64.6,67.99,76.43
foley,74.3,12,alabama,15.64,14.27,14.74,14.12,18.15,13.32,11.39,13.31,13.52,12.64,9.79,16.57
fort-payne,90.1,15,alabama,57.52,43.73,64.14,57.26,37.3,11.14,11.08,11.02,11.1,11.13,11.21,11.14
frisco-city,65.6,9,alabama,76.8,23.94,1.05,1.06,25.43,19.74,10.68,8.29,8.81,4.68,20.53,5.66
fultondale,99.3,11,alabama,39.14,58.31,54.65,71.6,65.52,53.64,63.29,60.26,139.69,85.37,121.89,75.92
fyffe,100,7,alabama,42.23,73.89,37.98,66.14,51.93,333.28,34.52,54.78,42.29,44.51,51.65,62.15
gadsden,97.8,15,alabama,58.88,59.18,63.46,62.95,70.27,66.6,48.47,70.16,55.01,95.67,98,76.27
gardendale,96.9,12,alabama,60.82,63.19,61.4,82.17,87.67,96.92,79.71,90.97,96.4,111.06,133.5,111.82
geneva,87.8,8,alabama,41.5,37.26,91.31,71.02,85.09,64.35,93.23,85.78,78.63,129.25,70.75,51.19
goodwater,80.3,8,alabama,86.11,44.78,27.47,8.03,26.39,28.39,31.51,26.91,31.82,38.7,84.35,15.28
gordo,20.6,8,alabama,22.26,19.06,17.31,19.67,16.11,17.2,21.82,13.79,15.76,16.29,19.48,22.61
grand-bay,96,13,alabama,6.95,14.33,10.69,56.81,37.74,21.15,33.85,24.7,23.68,19.8,18.39,54.14
grant,100,9,alabama,79.11,61.93,63.62,63.11,63.51,69.43,69.37,60.16,67.76,67.84,69.09,68.83
greensboro,69,11,alabama,14.34,25.26,10.8,11.6,12.82,62.78,37.68,15.05,13.37,23.71,24.14,12.19
greenville,69.5,10,alabama,42.52,23.92,61.26,57.28,51.3,38.8,73.52,64.54,66.99,69.04,248.85,74.47
grove-hill,64.3,9,alabama,4.41,2.88,3.9,5.27,28.08,11.55,10.59,8.7,8.96,7.34,32.96,40.4
gulf-shores,92.4,11,alabama,62.76,54.4,52.58,45.85,48.91,72.51,61.94,62.25,63.49,53.73,44.62,36.24
guntersville,96.4,13,alabama,56.34,59.34,62.96,62.07,67.28,96.58,62.11,61.44,63.13,107.89,96.88,106.37
gurley,81.4,14,alabama,117.67,597.27,604.87,645.07,633.06,591.73,623.81,638.37,646.72,661.47,613.05,625.56
haleyville,43,9,alabama,15.59,20.83,13.56,19.74,21.13,21.83,19.15,27.07,38.15,39.99,67.56,49.88
hamilton,31.9,9,alabama,38.53,45.2,60.62,87.94,86.44,64.78,79.23,86.99,77.49,79.36,73.99,79.43
hanceville,78.2,8,alabama,59.19,62.91,45.51,74.22,47.38,57.88,55.34,54.55,57.31,69.01,46.77,79.95
hartford,58.2,8,alabama,51.3,64.08,86.69,82.99,50.4,88.09,77.98,77.87,54.77,102.29,87.18,74.54
hartselle,95.6,9,alabama,52,58.1,55.15,62.33,61.71,46.17,55.76,56.96,53.85,78.46,103.08,100.92
harvest,99.7,15,alabama,73.32,67.47,60.54,115.33,68.72,48.86,35.65,45.35,53.51,101.04,115.74,64.52
hayden,56.5,12,alabama,16.02,4.98,18.85,5.59,9.84,6.2,5.62,20.16,16.53,24.4,22.29,5.94
hazel-green,99.2,13,alabama,69.25,54.55,51.93,66.11,43.57,33.3,33.76,37.82,66.05,89.95,68.95,64.52
